WeightProfile,Saturation,FleetSize,Composition,TimeSavingPct,PValue,w1,w2,w3,w4
E-commerce (0.1-1.5kg),5,5,Balanceada,18.9310230060825,0.03805568508712927,0.06494843722788218,0.6292171987093478,0.15764937033755613,0.14818499372521388
E-commerce (0.1-1.5kg),5,5,Foco Ligeros,7.452631570276921,0.5444287350306136,0.095499950236711,0.2508713010610391,0.3090769866431879,0.34455176205906207
E-commerce (0.1-1.5kg),5,5,Foco Pesados,4.71741503746072,0.13164013230177152,0.3385729499066085,0.1446713706265408,0.07381276309071451,0.44294291637613614
E-commerce (0.1-1.5kg),5,15,Balanceada,19.125804422536923,0.046049491471462534,0.6747524940437724,0.10617368332317413,0.17636634432911724,0.042707478303936224
E-commerce (0.1-1.5kg),5,15,Foco Ligeros,19.663992464625657,0.28151803593001085,0.32217352117219555,0.21944830312391486,0.18487723579829432,0.27350093990559526
E-commerce (0.1-1.5kg),5,15,Foco Pesados,9.7840824212633,0.003497775914958264,0.2876631242197695,0.12132600024073682,0.4087603239520171,0.1822505515874766
E-commerce (0.1-1.5kg),5,30,Balanceada,14.344517740450396,0.15740387490185093,0.40476924986901003,0.37883203017311756,0.1247423829082622,0.09165633704961018
E-commerce (0.1-1.5kg),5,30,Foco Ligeros,18.350173036697317,0.1320649013270797,0.297101980357,0.47460406306260294,0.1122204224509247,0.11607353412947242
E-commerce (0.1-1.5kg),5,30,Foco Pesados,0.7631697464219228,0.712081743808411,0.05239599243002404,0.40891899963184974,0.5344754234243867,0.004209584513739568
E-commerce (0.1-1.5kg),20,5,Balanceada,-4.456048674564831,0.06367310109136162,0.38936923612839963,0.24805646106926058,0.1976621566136931,0.16491214618864666
E-commerce (0.1-1.5kg),20,5,Foco Ligeros,-5.984071348551711,0.06267551376723325,0.1286138751879967,0.49806450862604906,0.11614015717835656,0.25718145900759765
E-commerce (0.1-1.5kg),20,5,Foco Pesados,1.6290925746243645,0.41909469869337457,0.2295221235633979,0.12216229793777984,0.2105130786651823,0.43780249983364
E-commerce (0.1-1.5kg),20,15,Balanceada,-8.278890449976195,0.00016790542554131593,0.5797926350722811,0.026030559021091335,0.1631414605944582,0.23103534531216946
E-commerce (0.1-1.5kg),20,15,Foco Ligeros,-6.876375601286027,0.049669236587339766,0.3636257894842647,0.2096801943296168,0.1903509980505738,0.23634301813554473
E-commerce (0.1-1.5kg),20,15,Foco Pesados,1.3647373117408739,0.49478463340851986,0.11453523849695278,0.3745866828808906,0.23383285246619243,0.2770452261559643
E-commerce (0.1-1.5kg),20,30,Balanceada,-7.404927036493988,0.0010362735075582278,0.6419544268025988,0.007172948662774264,0.1313576271761802,0.21951499735844668
E-commerce (0.1-1.5kg),20,30,Foco Ligeros,-6.361460277893897,0.07883187407723866,0.2836250155742951,0.2020447708543698,0.2701159773657369,0.24421423620559815
E-commerce (0.1-1.5kg),20,30,Foco Pesados,2.723773744957682,0.22702158465722008,0.20632378897872983,0.5347998666736766,0.11612862024164546,0.14274772410594813
Industrial (1.5-4.0kg),5,5,Balanceada,0.5313027314631463,0.7812796639163522,0.10849234076994044,0.3806303008013075,0.263343506616139,0.24753385181261306
Industrial (1.5-4.0kg),5,5,Foco Ligeros,0.5313027314631463,0.7812796639163522,0.10849234076994044,0.3806303008013075,0.263343506616139,0.24753385181261306
Industrial (1.5-4.0kg),5,5,Foco Pesados,6.885224645522944,0.082864362866928,0.5499605332115414,0.021511341581951587,0.23654821934875495,0.19197990585775207
Industrial (1.5-4.0kg),5,15,Balanceada,6.535224401817782,0.0009350289372587636,0.41300859871214657,0.06967124026708327,0.015347616676287996,0.5019725443444822
Industrial (1.5-4.0kg),5,15,Foco Ligeros,5.317878535063965,0.03101786009790019,0.0,0.6118462667879726,0.018547402478434238,0.36960633073359317
Industrial (1.5-4.0kg),5,15,Foco Pesados,9.69143827995177,0.004213350697396808,0.21977291924951411,0.3988311981889785,0.1551421987044564,0.22625368385705102
Industrial (1.5-4.0kg),5,30,Balanceada,1.5883997111135393,0.06708022233272772,0.13247465566646424,0.1484502663639941,0.39891070575789495,0.3201643722116467
Industrial (1.5-4.0kg),5,30,Foco Ligeros,4.110681883812498,0.01565199335696502,0.26658484247627945,0.12753126141833693,0.44816451369359755,0.15771938241178604
Industrial (1.5-4.0kg),5,30,Foco Pesados,16.25194044693069,1.7770348912682197e-06,0.5739327363942068,0.021655139355702697,0.13669021699043946,0.267721907259651
Industrial (1.5-4.0kg),20,5,Balanceada,-0.8076922041408405,0.22425227992450944,0.2056030561521114,0.14646459263509456,0.1958101980160573,0.45212215319673665
Industrial (1.5-4.0kg),20,5,Foco Ligeros,-0.8256467280706105,0.20950970210818792,0.2056030561521114,0.14646459263509456,0.1958101980160573,0.45212215319673665
Industrial (1.5-4.0kg),20,5,Foco Pesados,4.308119253568718,0.00011167596371977093,0.2836250155742951,0.2020447708543698,0.2701159773657369,0.24421423620559815
Industrial (1.5-4.0kg),20,15,Balanceada,0.6024041952206586,0.2714828299314095,0.14003292507466067,0.6639412257632765,0.06902580479133719,0.1270000443707256
Industrial (1.5-4.0kg),20,15,Foco Ligeros,0.5317056812910471,0.24145184354308485,0.38150794725706155,0.13331752965926524,0.12938989611463023,0.355784626969043
Industrial (1.5-4.0kg),20,15,Foco Pesados,2.8453299997797874,0.03796739462967658,0.13560273445091825,0.36248327242023354,0.49791631985644313,0.003997673272405079
Industrial (1.5-4.0kg),20,30,Balanceada,1.1136209825555314,0.0002007490942417647,0.015528826505150962,0.25614894000519006,0.422602453089329,0.30571978040033004
Industrial (1.5-4.0kg),20,30,Foco Ligeros,1.1406288102511952,3.004985628304338e-05,0.10608289994046283,0.2946236518978705,0.479872981060357,0.11942046710130966
Industrial (1.5-4.0kg),20,30,Foco Pesados,1.8545645294960074,0.00023257383978865308,0.18087301421075988,0.0,0.8191269857892401,0.0
